"Displacements:0","Displacements:1","Displacements:2","Stress/Strain:0","Stress/Strain:1","Stress/Strain:2","Stress/Strain:3","Stress/Strain:4","Stress/Strain:5","Stress/Strain:6","Stress/Strain:7","Stress/Strain:8","Stress/Strain:9","Stress/Strain:10","Stress/Strain:11","Stress/Strain:12","Stress/Strain:13","Stress/Strain:14","Stress/Strain:15","Principal Stress:0","Principal Stress:1","Principal Stress:2","Principal Stress:3","Principal Stress:4","Principal Stress:5","Principal Stress:6","nodes:0","nodes:1","nodes:2"
0.21519,0,0.56216,-1.079,-1.0613,-1.2043,0.0017363,0,0,0.16279,0.18584,0,0.0045144,0,0,0.95815,-0.00016397,0,0.95815,-1.0611,-1.0792,-1.2043,84.459,-1.1149,0.135,-0.00011877,0.44,0,0
0.21811,0,0.54299,-1.0807,-1.0377,-1.1785,0.0022348,0,0,0.12715,0.18309,0,0.0058105,0,0,0.9599,-0.0018113,0,0.9599,-1.0375,-1.0808,-1.1785,87.035,-1.0989,0.12507,-6.1453e-05,0.46,0,0
0.22028,0,0.52376,-1.0848,-1.0104,-1.1523,0.0026488,0,0,0.087799,0.18448,0,0.0068868,0,0,0.96449,-0.003061,0,0.9645,-1.0103,-1.0849,-1.1523,87.963,-1.0825,0.12303,8.2854e-06,0.48,0,0
0.22162,0,0.50441,-1.0908,-0.98028,-1.1257,0.0029528,0,0,0.045466,0.18907,0,0.0076773,0,0,0.97116,-0.0038854,0,0.97117,-0.9802,-1.0908,-1.1257,88.47,-1.0656,0.13159,8.9862e-05,0.5,0,0
0.22209,0,0.48491,-1.098,-0.94813,-1.0987,0.0031245,0,0,0.0010182,0.19579,0,0.0081237,0,0,0.97911,-0.0043079,0,0.97912,-0.94807,-1.098,-1.0987,88.806,-1.0483,0.15032,0.00017443,0.52,0,0
0.22166,0,0.46525,-1.1058,-0.91492,-1.0715,0.0031577,0,0,-0.044589,0.20348,0,0.00821,0,0,0.9876,-0.0043873,0,0.98761,-0.91487,-1.1058,-1.0715,89.052,-1.0307,0.17628,0.00024573,0.54,0,0
0.22031,0,0.44541,-1.1135,-0.88162,-1.0439,0.0030671,0,0,-0.090408,0.21102,0,0.0079745,0,0,0.99604,-0.0042028,0,0.99605,-0.88158,-1.1135,-1.0439,89.242,-1.013,0.20616,0.00028327,0.56,0,0
0.21805,0,0.42541,-1.1206,-0.84905,-1.0163,0.0028846,0,0,-0.13562,0.21744,0,0.0074999,0,0,1.004,-0.0038376,0,1.004,-0.84902,-1.1207,-1.0163,89.391,-0.99533,0.23735,0.00026675,0.58,0,0
0.21489,0,0.40525,-1.1268,-0.81778,-0.98863,0.0026473,0,0,-0.17963,0.2221,0,0.006883,0,0,1.0111,-0.0033657,0,1.0111,-0.81776,-1.1268,-0.98863,89.509,-0.97774,0.26816,0.00018006,0.6,0,0
0.21086,0,0.38496,-1.1318,-0.78813,-0.96093,0.0023874,0,0,-0.22208,0.22463,0,0.0062072,0,0,1.0173,-0.0028436,0,1.0173,-0.78812,-1.1318,-0.96093,89.602,-0.96027,0.29762,1.3402e-05,0.62,0,0
