"Displacements:0","Displacements:1","Stress/Strain:0","Stress/Strain:1","Stress/Strain:2","Stress/Strain:3","Stress/Strain:4","Stress/Strain:5","Stress/Strain:6","Stress/Strain:7","Stress/Strain:8","Stress/Strain:9","Stress/Strain:10","Stress/Strain:11","Stress/Strain:12","Principal Stress:0","Principal Stress:1","Principal Stress:2","Principal Stress:3","Principal Stress:4","Principal Stress:5","Principal Stress:6","nodes:0","nodes:1","nodes:2"
0.024308,0.00968508,0.0273184,5.35455e-05,0.00821157,-0.000244547,0,0,0.0496777,-0.0212109,0,-0.00127165,0,0,0,0.0273206,5.13523e-05,0.00821157,-0.51385,0.0118612,0.024242,4.61997e-07,0.48,0,0
0.0253137,0.00957389,0.0279854,9.79222e-05,0.00842499,-0.000228292,0,0,0.050857,-0.0216504,0,-0.00118712,0,0,0,0.0279873,9.60534e-05,0.00842499,-0.468992,0.0121694,0.0247989,4.95818e-07,0.5,0,0
0.0263422,0.0094816,0.0285867,0.000138524,0.00861756,-0.000198396,0,0,0.0519197,-0.0220455,0,-0.00103166,0,0,0,0.0285881,0.00013714,0.00861756,-0.399553,0.0124476,0.0253001,5.27657e-07,0.52,0,0
0.0273905,0.00941667,0.0290878,0.00017344,0.00877836,-0.000157963,0,0,0.0528045,-0.0223728,0,-0.00082141,0,0,0,0.0290886,0.000172577,0.00877836,-0.313003,0.0126799,0.0257168,5.55174e-07,0.54,0,0
0.0284544,0.00938587,0.0294637,0.000200244,0.0088992,-0.000110752,0,0,0.0534678,-0.0226173,0,-0.000575911,0,0,0,0.0294642,0.000199825,0.0088992,-0.21684,0.0128544,0.0260288,5.76419e-07,0.56,0,0
0.0295292,0.00939399,0.0296995,0.000216494,0.0089748,-5.99876e-05,0,0,0.0538843,-0.0227716,0,-0.000311935,0,0,0,0.0296996,0.000216372,0.0089748,-0.116576,0.0129636,0.0262249,5.90025e-07,0.58,0,0
0.0306098,0.00944376,0.029788,0.000220636,0.0090026,-7.94716e-06,0,0,0.0540421,-0.0228331,0,-4.13252e-05,0,0,0,0.029788,0.000220633,0.0090026,-0.0154,0.0130038,0.0263001,5.9523e-07,0.6,0,0
0.0316909,0.00953583,0.0297285,0.00021269,0.00898235,4.35572e-05,0,0,0.0539399,-0.0228011,0,0.000226497,0,0,0,0.0297286,0.000212626,0.00898235,0.0845526,0.0129745,0.0262536,5.91836e-07,0.62,0,0
0.0327674,0.00966879,0.0295262,0.000194241,0.00891614,9.22517e-05,0,0,0.0535862,-0.0226769,0,0.000479709,0,0,0,0.0295265,0.000193951,0.00891614,0.180198,0.0128789,0.0260889,5.80223e-07,0.64,0,0
0.0338343,0.00983914,0.0291946,0.000167748,0.00880872,0.000134929,0,0,0.0530034,-0.0224665,0,0.000701628,0,0,0,0.0291953,0.000167121,0.00880872,0.266326,0.0127237,0.0258159,5.6143e-07,0.66,0,0
0.0348875,0.0100414,0.0287569,0.000135642,0.00866775,0.000167872,0,0,0.0522317,-0.0221835,0,0.000872933,0,0,0,0.0287579,0.000134657,0.00866775,0.336041,0.0125201,0.025453,5.37182e-07,0.68,0,0
0.0359236,0.0102686,0.0282454,9.98329e-05,0.00850358,0.000188046,0,0,0.0513288,-0.0218497,0,0.000977841,0,0,0,0.0282467,9.85766e-05,0.00850358,0.382782,0.0122829,0.0250275,5.09702e-07,0.7,0,0
0.0369407,0.0105125,0.0276987,6.18637e-05,0.00832816,0.000194214,0,0,0.0503634,-0.0214924,0,0.00100991,0,0,0,0.0277,6.0499e-05,0.00832816,0.402611,0.0120296,0.024572,4.81359e-07,0.72,0,0
0.0379382,0.0107647,0.0271552,2.33295e-05,0.00815356,0.000187348,0,0,0.0494043,-0.0211386,0,0.000974209,0,0,0,0.0271565,2.20359e-05,0.00815356,0.395607,0.0117774,0.0241196,4.54246e-07,0.74,0,0
0.0389168,0.0110171,0.0266482,-1.39529e-05,0.00799028,0.000170158,0,0,0.0485106,-0.020811,0,0.000884824,0,0,0,0.0266493,-1.50388e-05,0.00799028,0.365643,0.0115415,0.0236984,4.29901e-07,0.76,0,0
0.0398786,0.0112626,0.0262018,-4.81971e-05,0.00784607,0.000146196,0,0,0.0477248,-0.0205251,0,0.000760219,0,0,0,0.0262026,-4.90113e-05,0.00784607,0.319089,0.0113332,0.0233285,4.09213e-07,0.78,0,0
0.0408258,0.0114955,0.0258296,-7.80236e-05,0.00772548,0.00011899,0,0,0.0470708,-0.0202891,0,0.000618749,0,0,0,0.0258302,-7.85701e-05,0.00772548,0.263144,0.011159,0.0230211,3.925e-07,0.8,0,0
0.0417614,0.0117112,0.0255361,-0.000102701,0.00763001,9.15353e-05,0,0,0.0465557,-0.020105,0,0.000475984,0,0,0,0.0255364,-0.000103028,0.00763001,0.204553,0.0110211,0.0227796,3.79659e-07,0.82,0,0
0.0426881,0.0119066,0.0253179,-0.00012213,0.00755874,6.60794e-05,0,0,0.0461739,-0.0199703,0,0.000343613,0,0,0,0.0253181,-0.000122302,0.00755874,0.148822,0.0109182,0.022601,3.70318e-07,0.84,0,0
0.0436084,0.0120797,0.0251668,-0.00013669,0.00750903,4.41215e-05,0,0,0.0459102,-0.0198789,0,0.000229432,0,0,0,0.0251669,-0.000136767,0.00750903,0.0999057,0.0108464,0.0224781,3.63954e-07,0.86,0,0
0.0445245,0.0122295,0.0250712,-0.000147045,0.00747725,2.64868e-05,0,0,0.0457443,-0.0198232,0,0.000137731,0,0,0,0.0250712,-0.000147073,0.00747725,0.0601778,0.0108005,0.0224014,3.59983e-07,0.88,0,0
0.0454381,0.0123554,0.0250183,-0.00015399,0.00745929,1.34345e-05,0,0,0.0456534,-0.0197945,0,6.98592e-05,0,0,0,0.0250183,-0.000153997,0.00745929,0.0305788,0.0107745,0.0223598,3.57816e-07,0.9,0,0
0.0463506,0.0124577,0.0249953,-0.000158336,0.00745108,4.76906e-06,0,0,0.0456149,-0.0197845,0,2.47991e-05,0,0,0,0.0249953,-0.000158337,0.00745108,0.0108631,0.0107627,0.0223428,3.56897e-07,0.92,0,0
0.0472627,0.0125365,0.0249905,-0.00016084,0.00744891,-4.94171e-08,0,0,0.0456082,-0.0197854,0,-2.56969e-07,0,0,0,0.0249905,-0.00016084,0.00744891,-0.000112574,0.0107595,0.0223407,3.56733e-07,0.94,0,0
0.0481749,0.0125924,0.0249945,-0.000162139,0.0074497,-1.80527e-06,0,0,0.0456164,-0.0197908,0,-9.38741e-06,0,0,0,0.0249945,-0.000162139,0.0074497,-0.00411162,0.0107607,0.0223452,3.5692e-07,0.96,0,0
0.0490874,0.0126258,0.0249998,-0.000162718,0.00745112,-1.44283e-06,0,0,0.0456265,-0.019796,0,-7.5027e-06,0,0,0,0.0249998,-0.000162718,0.00745112,-0.00328536,0.0107627,0.0223504,3.57155e-07,0.98,0,0
0.05,0.0126369,0.025002,-0.000162877,0.00745175,0.00010659,0,0,0.0456308,-0.019798,0,0.000554266,0,0,0,0.0250025,-0.000163328,0.00745175,0.242678,0.0107636,0.0223533,3.57281e-07,1,0,0
0,0,0.0433174,0.0185646,0.0185646,0.0138686,0,0,0.0643573,-1.73472e-18,0,0.072117,0,0,0,0.049529,0.012353,0.0185646,24.1271,0.0268155,0.0344923,1.87928e-06,0,0.02,0
0.00128715,0.00144234,0.0394722,0.00388656,0.0130076,0.00871039,0,0,0.0688078,-0.0237148,0,0.045294,0,0,0,0.0414898,0.00186889,0.0130076,13.0419,0.0187888,0.0353916,1.53964e-06,0.02,0.02,0
0.00275231,0.00287305,0.0396978,0.00305337,0.0128254,0.00566976,0,0,0.0698684,-0.0254072,0,0.0294828,0,0,0,0.040555,0.00219618,0.0128254,8.59727,0.0185255,0.0343024,1.42174e-06,0.04,0.02,0
0.00408188,0.004015,0.0356712,0.0016124,0.0111851,0.00339152,0,0,0.0636639,-0.024889,0,0.0176359,0,0,0,0.0360056,0.00127797,0.0111851,5.63173,0.0161562,0.0309857,1.01793e-06,0.06,0.02,0
0.00529887,0.00497986,0.0327074,0.000936074,0.010093,0.00225681,0,0,0.0587973,-0.0238081,0,0.0117354,0,0,0,0.0328669,0.000776566,0.010093,4.04284,0.0145788,0.028594,7.85086e-07,0.08,0.02,0
0.00643377,0.00580482,0.0306108,0.000578408,0.00935676,0.00157855,0,0,0.0552605,-0.0228237,0,0.00820845,0,0,0,0.0306935,0.000495665,0.00935676,3.00053,0.0135153,0.0268858,6.44881e-07,0.1,0.02,0
0.00750929,0.00651854,0.0291055,0.000380913,0.00884593,0.00115433,0,0,0.052675,-0.0220091,0,0.00600253,0,0,0,0.0291518,0.000334599,0.00884593,2.29756,0.0127775,0.0256438,5.554e-07,0.12,0.02,0
0.00854077,0.00713877,0.0279911,0.000263613,0.0084764,0.000869832,0,0,0.0507381,-0.0213533,0,0.00452313,0,0,0,0.0280183,0.000236352,0.0084764,1.79506,0.0122437,0.0247146,4.9476e-07,0.14,0.02,0
0.00953881,0.007678,0.0271447,0.000190451,0.00820055,0.00066989,0,0,0.0492548,-0.0208262,0,0.00348343,0,0,0,0.0271613,0.000173812,0.00820055,1.42279,0.0118452,0.0240028,4.51744e-07,0.16,0.02,0
0.010511,0.00814523,0.0264902,0.000143508,0.00799011,0.000522993,0,0,0.0481002,-0.0204012,0,0.00271956,0,0,0,0.0265006,0.000133131,0.00799011,1.13675,0.0115413,0.0234479,4.20199e-07,0.18,0.02,0
0.0114628,0.00854718,0.0259789,0.000113353,0.00782767,0.000410104,0,0,0.0471931,-0.0200572,0,0.00213254,0,0,0,0.0259854,0.000106852,0.00782767,0.908133,0.0113066,0.023011,3.96559e-07,0.2,0.02,0
0.0123987,0.0088889,0.0255794,9.46711e-05,0.00770223,0.000318736,0,0,0.0464807,-0.0197797,0,0.00165743,0,0,0,0.0255834,9.06853e-05,0.00770223,0.716445,0.0111254,0.0226666,3.78673e-07,0.22,0.02,0
0.0133221,0.00917426,0.0252719,8.42525e-05,0.00760686,0.000240201,0,0,0.0459292,-0.0195588,0,0.00124905,0,0,0,0.0252742,8.19621e-05,0.00760686,0.546333,0.0109877,0.0223988,3.65228e-07,0.24,0.02,0
