"Displacements","Stress/Strain:0","Stress/Strain:1","Stress/Strain:2","Stress/Strain:3","Stress/Strain:4","Stress/Strain:5","Stress/Strain:6","Stress/Strain:7","Stress/Strain:8","Stress/Strain:9","Stress/Strain:10","Stress/Strain:11","Stress/Strain:12","Stress/Strain:13","Stress/Strain:14","Stress/Strain:15","Principal Stress:0","Principal Stress:1","Principal Stress:2","Principal Stress:3","Principal Stress:4","Principal Stress:5","Principal Stress:6","nodes:0","nodes:1","nodes:2"
0.28517,0,0,0,0,0,0,0,0,0,0,0,0,0.46926,-0.0037161,0,0.46928,0,0,0,45,0,0,0,0.72,0,0
0.26625,0,0,0,0,0,0,0,0,0,0,0,0,0.47665,-0.0037648,0,0.47667,0,0,0,45,0,0,0,0.74,0,0
0.24703,0,0,0,0,0,0,0,0,0,0,0,0,0.48402,-0.003684,0,0.48404,0,0,0,45,0,0,0,0.76,0,0
0.22753,0,0,0,0,0,0,0,0,0,0,0,0,0.49115,-0.0035007,0,0.49116,0,0,0,45,0,0,0,0.78,0,0
0.20774,0,0,0,0,0,0,0,0,0,0,0,0,0.49785,-0.0032429,0,0.49786,0,0,0,45,0,0,0,0.8,0,0
0.1877,0,0,0,0,0,0,0,0,0,0,0,0,0.50401,-0.0029359,0,0.50401,0,0,0,45,0,0,0,0.82,0,0
0.16742,0,0,0,0,0,0,0,0,0,0,0,0,0.50953,-0.0026007,0,0.50953,0,0,0,45,0,0,0,0.84,0,0
0.14694,0,0,0,0,0,0,0,0,0,0,0,0,0.51438,-0.0022535,0,0.51438,0,0,0,45,0,0,0,0.86,0,0
0.12627,0,0,0,0,0,0,0,0,0,0,0,0,0.51854,-0.0019055,0,0.51854,0,0,0,45,0,0,0,0.88,0,0
0.10545,0,0,0,0,0,0,0,0,0,0,0,0,0.52201,-0.001564,0,0.52202,0,0,0,45,0,0,0,0.9,0,0
0.084509,0,0,0,0,0,0,0,0,0,0,0,0,0.52482,-0.0012326,0,0.52482,0,0,0,45,0,0,0,0.92,0,0
0.063467,0,0,0,0,0,0,0,0,0,0,0,0,0.52697,-0.00091225,0,0.52697,0,0,0,45,0,0,0,0.94,0,0
0.042352,0,0,0,0,0,0,0,0,0,0,0,0,0.52849,-0.00060191,0,0.52849,0,0,0,45,0,0,0,0.96,0,0
0.021188,0,0,0,0,0,0,0,0,0,0,0,0,0.52939,-0.00029899,0,0.52939,0,0,0,45,0,0,0,0.98,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0.5297,1.0815e-17,0,0.5297,0,0,0,45,0,0,0,1,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0.54249,1.1749e-15,0,0.54249,0,0,0,45,0,0,0,0,0.02,0
0.9783,0,0,0,0,0,0,0,0,0,0,0,0,0.54243,0.00011954,0,0.54243,0,0,0,45,0,0,0,0.02,0.02,0
0.95661,0,0,0,0,0,0,0,0,0,0,0,0,0.54225,0.00024313,0,0.54225,0,0,0,45,0,0,0,0.04,0.02,0
0.93492,0,0,0,0,0,0,0,0,0,0,0,0,0.54194,0.00037488,0,0.54194,0,0,0,45,0,0,0,0.06,0.02,0
0.91325,0,0,0,0,0,0,0,0,0,0,0,0,0.54149,0.00051903,0,0.54149,0,0,0,45,0,0,0,0.08,0.02,0
